Designator,Mid X,Mid Y,Layer,Rotation
"C1","0mm","27.5mm","Top",0
"C2","10mm","25mm","Top",337.5
"C3","19mm","19mm","Top",315
"C4","25mm","10mm","Top",292.5
"C5","27mm","0mm","Top",270
"C6","25mm","-10mm","Top",247.5
"C7","19mm","-19mm","Top",225
"C8","10mm","-25mm","Top",202.5
"C9","0mm","-27.5mm","Top",180
"C10","-10mm","-25mm","Top",157.5
"C11","-19mm","-19mm","Top",135
"C12","-25mm","-10mm","Top",112.5
"C13","-27mm","0mm","Top",90
"C14","-25mm","10mm","Top",67.5
"C15","-19mm","19mm","Top",45
"C16","-10mm","25mm","Top",22.5
"C19","-10.5mm","-19.4mm","Top",90
"C20","6.5mm","-18mm","Top",0
"C20","-7.5mm","-19.4mm","Top",90
"D1","0mm","32.5mm","Top",0
"D2","0mm","-32.5mm","Top",180
"D3","32.5mm","0mm","Top",270
"D4","-32.5mm","0mm","Top",90
"D5","-23mm","23mm","Top",45
"D6","23mm","23mm","Top",315
"D7","23mm","-23mm","Top",225
"D8","-23mm","-23mm","Top",135
"D9","-12.5mm","30mm","Top",22.5
"D10","12.5mm","30mm","Top",337.5
"D11","12.5mm","-30mm","Top",202.5
"D12","-30mm","12.5mm","Top",67.5
"D13","30mm","-12.5mm","Top",247.5
"D14","30mm","12.5mm","Top",292.5
"D15","-12.5mm","-30mm","Top",157.5
"D16","-30mm","-12.5mm","Top",112.5
"J1","13.3mm","0.65mm","Top",0
"J2","-7.5mm","-14.27mm","Bottom",0
"Q1","-3.8333mm","24.8mm","Top",0
"R3","-5.5mm","21.1mm","Top",0
"R4","0.9mm","23.8mm","Top",90
"R9","-12.7mm","5.7mm","Top",0
"U2","-1.575mm","-18mm","Top",0
"U3","-0.0256mm","-2.3537mm","Top",0
